Coal,Oil,Gas,Cement,Flaring,Total
0.003410869558540335,0.0,0.0,0.0009430638935642291,0.0,4.714737
0.0011513855623168261,0.0,0.0,0.0,0.0,1.5572
0.0,2.1486827040250968e-05,0.0,0.0,0.0,0.025648
0.0004879014805187226,0.002364025983431498,0.0,0.0,0.0,3.481713
0.0027303808754307987,0.0017564953317623065,0.0,0.0015199892427963306,0.0,5.953269
2.1673139996552024e-05,6.139093440071705e-06,0.0,0.0,0.0,0.03664
0.0,3.990410736046608e-05,0.0,0.0,0.0,0.047632
0.0,2.455637376028682e-05,0.0002529319271332694,0.0,0.0,0.29312
0.0,0.00010743413520125483,0.0,0.0,0.0,0.12824
0.0013328064248343614,0.0026827863465864877,0.0006621514860977949,0.0011911814895814816,0.0,5.823959
0.001407263479885289,2.488393728854392e-05,0.0,0.0,0.0,1.932967
0.0,0.0003867628867245174,0.002908717162032598,0.0004718982986452531,0.11851851851851851,12.457184
0.014709424510655923,0.0,0.0,0.0,0.0,19.893871
0.00019503533873057119,0.0008185335048865911,4.990412272291468e-06,5.788359437588492e-05,0.0,1.252275
2.709142499569003e-06,0.0012800009822549504,0.0,0.0006741430765591365,0.0,1.604238
0.0,0.00010841263699410469,0.0,0.0,0.0,0.129408
0.0,0.0,0.0,0.0,0.0,0.0
0.0013725318885555251,2.3950674448445683e-05,2.0325982742090123e-06,0.0010477106801918704,0.0,1.999963
0.0,0.0,0.0,0.0,0.0,0.0
0.03815827210642941,0.08824025956087066,0.055392092042186,0.204135737835713,0.0,236.720283
0.002048111729674166,0.0,0.0,0.0,0.0,2.769984
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0031735820694720456,1.7580057526366254e-05,0.003539571130145043,0.0,4.188155
0.001850468545529845,0.027821167611606745,0.014333770853307766,0.04007090828420988,0.0024044733224375834,55.163082
0.0,5.525184096064534e-05,0.0,0.0,0.0,0.065952
0.0005903076585182605,0.0,0.0,0.0,0.0,0.798366
0.0,0.0005034056620858798,3.5129434324065198e-06,0.0,0.0,0.60456
0.0,4.604320080053779e-05,0.0,0.0,0.0,0.05496
0.0034702008144335975,0.04247074018258763,1.4050814956855225e-05,0.042169612899265796,0.0,59.950366
0.0,0.00041131926048480424,0.0,0.0,0.0,0.490976
0.0,0.0,0.0,0.0,0.0,0.0
9.48199874849151e-05,0.008671469484101283,0.0,0.0027879376784840774,0.0,10.779635
0.00024382282496121028,0.0006937175587281027,0.0,0.00011445017699061367,0.0,1.170164
0.0,3.990410736046608e-05,0.0,0.0,0.0,0.047632
0.019700542656474196,0.001719153089540997,2.1080536912751677e-05,0.016282438996710828,0.0,30.473789
0.0,0.002707340207071622,0.0,0.0,2.5510312656945613e-05,3.233566
0.0,0.0014304087715367073,0.0,0.0,0.0,1.707424
0.0,0.001645277041939217,0.0005936874400767018,0.0007975526434178971,0.028118908382066276,4.78324
0.0005953007915148734,4.840735496100208e-05,0.0,0.00024433350588660665,0.0,0.889245
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0006200484374472422,0.0,0.0,0.0,0.740128
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.001088586595579003,0.0,0.0,0.0,1.299404
0.00034882353926833214,0.0012040682378197404,0.0,0.00037008030488488384,0.0,1.948922
0.0,0.0,0.0,0.0,0.0,0.0
4.6055422492673054e-05,0.0013291137297755241,0.0,0.0010449189862474478,0.0,1.761463
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.12324230080943947,0.046342749760306806,0.0421263370057619,0.06140350877192982,204.603783
0.0,0.003661244576000362,0.0,0.0005517351806173116,0.0,4.429775
0.0,0.00044333000834849694,1.4093959731543624e-05,0.0,0.009189059347787226,1.234768
0.0003420447678611136,0.00015039438514760815,1.3729626078619367e-06,0.00011600833175029139,0.0,0.656061
0.0,0.0004911274752057364,0.0,0.0,0.0,0.58624
0.0013356072522875185,0.0,0.0,0.0,0.0,1.806352
2.9800567495259033e-05,0.0007397607595286405,0.0,0.0003438328169688841,0.0,0.9604
0.0,0.004675404716719107,0.0005652713326941515,0.003928970699103789,0.0,6.59405
0.00012462055498017413,0.0005310315825662025,0.0,0.000584966540759724,0.0,0.865487
0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.139093440071705e-06,0.0,0.0,0.0,0.007328
0.0,0.0,0.0,0.0,0.0,0.0
3.2509709994828036e-05,6.139093440071705e-06,0.0,0.0003033671668708252,0.0,0.084005
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0005034056620858798,0.0,0.0,0.0,0.600896
0.04717700231173111,0.00010130090606987315,0.0,0.0,0.0,63.925808
0.0002709142499569003,0.0015255647198578186,0.00042155321188878237,0.0003982940357119055,0.002485380116959064,2.856896
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0001227818688014341,0.0,0.0,0.0,0.14656
0.0016428553620776122,0.002392801308415066,0.0,0.0029345062479316196,0.0,5.394485
0.0018909814646991643,0.00010129504176118313,0.0,0.0,0.0,2.678384
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.001842216899706922,0.0,0.0,0.0,0.0,2.49152
0.00961875277192636,0.0025703214722875758,0.0,0.0,0.0,16.077048
0.005384262487408975,0.05197752766080474,0.12805934228187918,0.05280066168154838,0.021732498701873555,210.218381
0.0,0.0001166427753613624,0.0,0.0,0.0,0.139232
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
